OWNER,TABLE_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,CONSTRAINT_NAME,DELETE_RULE
PPDM,AREA_COMPONENT,CONSULT_ID,1,PPDM,CONSULT,CONSULT_ID,ACMP_CO_FK,NO ACTION
PPDM,AREA_COMPONENT,CONTEST_ID,1,PPDM,CONTEST,CONTEST_ID,ACMP_COT_FK,NO ACTION
PPDM,AREA_COMPONENT,CONSENT_ID,1,PPDM,CONSENT,CONSENT_ID,ACMP_CON_FK,NO ACTION
PPDM,AREA_COMPONENT,CLASS_LEVEL_ID,2,PPDM,CLASS_LEVEL,CLASS_LEVEL_ID,ACMP_CLSL_FK,NO ACTION
PPDM,AREA_COMPONENT,CLASSIFICATION_SYSTEM_ID,1,PPDM,CLASS_LEVEL,CLASSIFICATION_SYSTEM_ID,ACMP_CLSL_FK,NO ACTION
PPDM,AREA_COMPONENT,CATALOGUE_EQUIP_ID,1,PPDM,CAT_EQUIPMENT,CATALOGUE_EQUIP_ID,ACMP_CEQ_FK,NO ACTION
PPDM,AREA_COMPONENT,CATALOGUE_ADDITIVE_ID,1,PPDM,CAT_ADDITIVE,CATALOGUE_ADDITIVE_ID,ACMP_CA_FK,NO ACTION
PPDM,AREA_COMPONENT,BUSINESS_ASSOCIATE,1,PPDM,BUSINESS_ASSOCIATE,BUSINESS_ASSOCIATE,ACMP_BA_FK,NO ACTION
PPDM,AREA_COMPONENT,STORE_STRUCTURE_OBS_NO,2,PPDM,RM_DATA_STORE_STRUCTURE,STRUCTURE_OBS_NO,ACMP_RMDSS_FK,NO ACTION
PPDM,AREA_COMPONENT,STORE_ID,1,PPDM,RM_DATA_STORE_STRUCTURE,STORE_ID,ACMP_RMDSS_FK,NO ACTION
PPDM,AREA_COMPONENT,RATE_SCHEDULE_ID,1,PPDM,RATE_SCHEDULE,RATE_SCHEDULE_ID,ACMP_RATE_FK,NO ACTION
PPDM,AREA_COMPONENT,PPDM_TABLE_NAME,2,PPDM,PPDM_TABLE,TABLE_NAME,ACMP_PT_FK,NO ACTION
PPDM,AREA_COMPONENT,PPDM_SYSTEM_ID,1,PPDM,PPDM_TABLE,SYSTEM_ID,ACMP_PT_FK,NO ACTION
PPDM,AREA_COMPONENT,STRING_ID,3,PPDM,PROD_STRING,STRING_ID,ACMP_PS_FK,NO ACTION
PPDM,AREA_COMPONENT,PR_STR_UWI,1,PPDM,PROD_STRING,UWI,ACMP_PS_FK,NO ACTION
PPDM,AREA_COMPONENT,PR_STR_SOURCE,2,PPDM,PROD_STRING,SOURCE,ACMP_PS_FK,NO ACTION
PPDM,AREA_COMPONENT,PPDM_SYSTEM_ID,1,PPDM,PPDM_SYSTEM,SYSTEM_ID,ACMP_PSYS_FK,NO ACTION
PPDM,AREA_COMPONENT,PROJECT_ID,1,PPDM,PROJECT,PROJECT_ID,ACMP_PROJ_FK,NO ACTION
PPDM,AREA_COMPONENT,PRODUCT_TYPE,1,PPDM,PRODUCT,PRODUCT_TYPE,ACMP_PROD_FK,NO ACTION
PPDM,AREA_COMPONENT,LITH_LOG_SOURCE,2,PPDM,LITH_LOG,LITH_LOG_SOURCE,ACMP_LIL_FK,NO ACTION
PPDM,AREA_COMPONENT,LITHOLOGY_LOG_ID,1,PPDM,LITH_LOG,LITHOLOGY_LOG_ID,ACMP_LIL_FK,NO ACTION
PPDM,AREA_COMPONENT,INTEREST_SET_SEQ_NO,2,PPDM,INTEREST_SET,INTEREST_SET_SEQ_NO,ACMP_INT_FK,NO ACTION
PPDM,AREA_COMPONENT,INTEREST_SET_ID,1,PPDM,INTEREST_SET,INTEREST_SET_ID,ACMP_INT_FK,NO ACTION
PPDM,AREA_COMPONENT,APPLICATION_ID,1,PPDM,APPLICATION,APPLICATION_ID,ACMP_APP_FK,NO ACTION
PPDM,AREA_COMPONENT,UWI,1,PPDM,WELL,UWI,ACMP_W_FK,NO ACTION
PPDM,AREA_COMPONENT,WORK_ORDER_ID,1,PPDM,WORK_ORDER,WORK_ORDER_ID,ACMP_WO_FK,NO ACTION
