id,TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
471,R_SOURCE,SOURCE,R_ITEM_SUB_CATEGORY,SOURCE
472,R_SOURCE,SOURCE,R_LAND_CASE_ACTION,SOURCE
473,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LAND_RENTAL_TYPE,ROW_QUALITY
474,R_LAND_STATUS_TYPE,STATUS_TYPE,R_LAND_RIGHT_STATUS,STATUS_TYPE
475,R_SOURCE,SOURCE,R_LAND_UNIT_TYPE,SOURCE
476,R_SOURCE,SOURCE,R_LANGUAGE,SOURCE
477,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LEASE_UNIT_STATUS,ROW_QUALITY
478,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LIC_STATUS_TYPE,ROW_QUALITY
479,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LITH_COMPONENT,ROW_QUALITY
480,R_SOURCE,SOURCE,R_LITH_DIAGENESIS,SOURCE
481,R_SOURCE,SOURCE,R_LITH_STRUCTURE,SOURCE
482,R_SOURCE,SOURCE,R_LOG_CRV_CLASS_SYSTEM,SOURCE
483,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LOG_DIRECTION,ROW_QUALITY
484,R_SOURCE,SOURCE,R_LOG_MATRIX,SOURCE
485,R_SOURCE,SOURCE,R_LOG_TOOL_TYPE,SOURCE
486,R_SOURCE,SOURCE,R_LOST_MATERIAL_TYPE,SOURCE
487,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_LR_FIELD_XREF,ROW_QUALITY
488,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_MEDIA_TYPE,ROW_QUALITY
489,R_SOURCE,SOURCE,R_MISC_DATA_TYPE,SOURCE
490,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_MUD_PROPERTY_TYPE,ROW_QUALITY
491,R_SOURCE,SOURCE,R_NORTH,SOURCE
492,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_OBLIG_CATEGORY,ROW_QUALITY
493,R_SOURCE,SOURCE,R_OBLIG_CATEGORY,SOURCE
494,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_OBLIG_COMPONENT_TYPE,ROW_QUALITY
495,R_SOURCE,SOURCE,R_OBLIG_PARTY_TYPE,SOURCE
496,R_SOURCE,SOURCE,R_OBLIG_REMARK_TYPE,SOURCE
497,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_OPERAND_QUALIFIER,ROW_QUALITY
498,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PAL_SUM_COMP_TYPE,ROW_QUALITY
499,R_SOURCE,SOURCE,R_PAL_SUM_COMP_TYPE,SOURCE
500,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PAL_SUM_XREF_TYPE,ROW_QUALITY
501,R_SOURCE,SOURCE,R_PAL_SUM_XREF_TYPE,SOURCE
502,R_SOURCE,SOURCE,R_PAYZONE_TYPE,SOURCE
503,R_SOURCE,SOURCE,R_PDEN_AMEND_REASON,SOURCE
504,R_SOURCE,SOURCE,R_PERFORATION_METHOD,SOURCE
505,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PERFORATION_TYPE,ROW_QUALITY
506,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PICK_QUALIFIER,ROW_QUALITY
507,R_SOURCE,SOURCE,R_PICK_QUALIFIER,SOURCE
508,R_SOURCE,SOURCE,R_PLUG_TYPE,SOURCE
509,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_POOL_COMPONENT_TYPE,ROW_QUALITY
510,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_FAIL_RESULT,ROW_QUALITY
511,R_SOURCE,SOURCE,R_PPDM_GROUP_XREF_TYPE,SOURCE
512,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_MAP_TYPE,ROW_QUALITY
513,PPDM_PROPERTY_SET,PROPERTY_SET_ID,R_PPDM_METRIC_TYPE,PROPERTY_SET_ID
514,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_OPERATING_SYSTEM,ROW_QUALITY
515,R_SOURCE,SOURCE,R_PPDM_OPERATING_SYSTEM,SOURCE
516,R_SOURCE,SOURCE,R_PPDM_SCHEMA_GROUP,SOURCE
517,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PPDM_TABLE_TYPE,ROW_QUALITY
518,R_SOURCE,SOURCE,R_PRESERVE_QUALITY,SOURCE
519,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PRESERVE_TYPE,ROW_QUALITY
520,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PRODUCT_COMPONENT_TYPE,ROW_QUALITY
521,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_PROD_STRING_STATUS,ROW_QUALITY
522,R_SOURCE,SOURCE,R_PROD_STRING_STAT_TYPE,SOURCE
523,R_STATUS_GROUP,STATUS_GROUP,R_PROD_STR_FM_STATUS,STATUS_GROUP
524,R_SOURCE,SOURCE,R_PROJECT_BA_ROLE,SOURCE
525,R_SOURCE,SOURCE,R_PROJECT_STATUS_TYPE,SOURCE
526,R_PROJECT_TYPE,PROJECT_TYPE,R_PROJECT_STATUS_TYPE,PROJECT_TYPE
527,R_SOURCE,SOURCE,R_PROJ_STEP_TYPE,SOURCE
528,R_SOURCE,SOURCE,R_QUALITY,SOURCE
529,R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_RECORDER_POSITION,ROW_QUALITY
