TABLE_NAME,COLUMN_NAME,SOURCETABLENAME,SOURCECOLUMNNAME
R_SOURCE,SOURCE,R_RMII_QUALITY_CODE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_ROAD_TRAFFIC_FLOW_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SAMPLE_ANAL_COMP_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SAMPLE_WATER_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_SCALE_TRANSFORM,SOURCE
R_SOURCE,SOURCE,R_SECTION_TYPE,SOURCE
R_SOURCE,SOURCE,R_SEIS_ACTIVITY_CLASS,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_ACTIVITY_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_AUTHORIZE_LIMIT,ROW_QUALITY
R_SOURCE,SOURCE,R_SEIS_AUTHORIZE_REASON,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_CABLE_MAKE,ROW_QUALITY
R_SOURCE,SOURCE,R_SEIS_LIC_COND,SOURCE
R_SOURCE,SOURCE,R_SEIS_LIC_COND_CODE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_LIC_DUE_CONDITION,ROW_QUALITY
R_SOURCE,SOURCE,R_SEIS_LIC_DUE_CONDITION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_PROC_STEP_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_SEIS_RCVR_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_REF_DATUM,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_STATION_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SEIS_STATUS,ROW_QUALITY
R_SOURCE,SOURCE,R_SERVICE_QUALITY,SOURCE
R_SOURCE,SOURCE,R_SF_AIRSTRIP_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_LANDING_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_SF_LANDING_TYPE,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_MAINTAIN_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_PAD_TYPE,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_STATUS,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SF_SURFACE_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_SHOW_TYPE,SOURCE
R_SOURCE,SOURCE,R_SHUTIN_PRESS_TYPE,SOURCE
RM_PHYSICAL_ITEM,PHYSICAL_ITEM_ID,R_SOURCE_ORIGIN,PHYSICAL_ITEM_ID
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_SP_POINT_VERSION_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_SP_ZONE_TYPE,SOURCE
R_SOURCE,SOURCE,R_STORE_STATUS,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_ALIAS_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_STRAT_DESC_TYPE,SOURCE
PPDM_PROPERTY_SET,PROPERTY_SET_ID,R_STRAT_DESC_TYPE,PROPERTY_SET_ID
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_HIERARCHY,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_STATUS,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_TOPO_RELATION,ROW_QUALITY
R_SOURCE,SOURCE,R_STRAT_TYPE,SOURCE
R_SOURCE,SOURCE,R_STRAT_UNIT_QUALIFIER,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_STRAT_UNIT_TYPE,ROW_QUALITY
R_SOURCE,SOURCE,R_SW_APPLICATION,SOURCE
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_TEST_RESULT,ROW_QUALITY
R_PPDM_ROW_QUALITY,ROW_QUALITY_ID,R_TVD_METHOD,ROW_QUALITY
